Date,Home/Neutral,PTS,PTS.1,Unnamed: 5,Visitor/Neutral,link,no_box
"Sun, Jun 21, 1998",New York Liberty,64,68,Box Score,Utah Starzz,/wnba/boxscores/199806210NYL.html,
"Sun, Jun 21, 1998",Phoenix Mercury,72,71,Box Score,Charlotte Sting,/wnba/boxscores/199806210PHO.html,
"Sun, Jun 21, 1998",Washington Mystics,70,57,Box Score,Detroit Shock,/wnba/boxscores/199806210WAS.html,
"Mon, Jun 22, 1998",Cleveland Rockers,72,88,Box Score,Utah Starzz,/wnba/boxscores/199806220CLE.html,
"Tue, Jun 23, 1998",Detroit Shock,57,61,Box Score,Sacramento Monarchs,/wnba/boxscores/199806230DET.html,
"Tue, Jun 23, 1998",New York Liberty,57,59,Box Score,Cleveland Rockers,/wnba/boxscores/199806230NYL.html,
"Wed, Jun 24, 1998",Los Angeles Sparks,77,73,Box Score,Charlotte Sting,/wnba/boxscores/199806240LAS.html,
"Wed, Jun 24, 1998",Phoenix Mercury,66,69,Box Score,Houston Comets,/wnba/boxscores/199806240PHO.html,
"Thu, Jun 25, 1998",Detroit Shock,71,79,Box Score,Washington Mystics,/wnba/boxscores/199806250DET.html,
"Thu, Jun 25, 1998",Utah Starzz,91,83,Box Score,Charlotte Sting,/wnba/boxscores/199806250UTA.html,
"Fri, Jun 26, 1998",New York Liberty,48,62,Box Score,Sacramento Monarchs,/wnba/boxscores/199806260NYL.html,
"Fri, Jun 26, 1998",Phoenix Mercury,63,96,Box Score,Utah Starzz,/wnba/boxscores/199806260PHO.html,
"Sat, Jun 27, 1998",Charlotte Sting,50,58,Box Score,Sacramento Monarchs,/wnba/boxscores/199806270CHA.html,
"Sat, Jun 27, 1998",Cleveland Rockers,84,73,Box Score,Detroit Shock,/wnba/boxscores/199806270CLE.html,
"Sat, Jun 27, 1998",Houston Comets,64,75,Box Score,Los Angeles Sparks,/wnba/boxscores/199806270HOU.html,
"Sun, Jun 28, 1998",Washington Mystics,86,69,Box Score,Phoenix Mercury,/wnba/boxscores/199806280WAS.html,
"Mon, Jun 29, 1998",Detroit Shock,49,60,Box Score,Charlotte Sting,/wnba/boxscores/199806290DET.html,
"Mon, Jun 29, 1998",Houston Comets,48,73,Box Score,Washington Mystics,/wnba/boxscores/199806290HOU.html,
"Mon, Jun 29, 1998",New York Liberty,68,71,Box Score,Phoenix Mercury,/wnba/boxscores/199806290NYL.html,
"Tue, Jun 30, 1998",Sacramento Monarchs,56,58,Box Score,Los Angeles Sparks,/wnba/boxscores/199806300SAC.html,
"Tue, Jun 30, 1998",Utah Starzz,75,73,Box Score,Houston Comets,/wnba/boxscores/199806300UTA.html,
"Wed, Jul 1, 1998",Detroit Shock,65,82,Box Score,New York Liberty,/wnba/boxscores/199807010DET.html,
"Wed, Jul 1, 1998",Washington Mystics,92,80,Box Score,Cleveland Rockers,/wnba/boxscores/199807010WAS.html,
"Thu, Jul 2, 1998",Cleveland Rockers,76,61,Box Score,Phoenix Mercury,/wnba/boxscores/199807020CLE.html,
"Thu, Jul 2, 1998",Los Angeles Sparks,58,57,Box Score,Utah Starzz,/wnba/boxscores/199807020LAS.html,
"Fri, Jul 3, 1998",Houston Comets,67,84,Box Score,Sacramento Monarchs,/wnba/boxscores/199807030HOU.html,
"Fri, Jul 3, 1998",New York Liberty,60,76,Box Score,Washington Mystics,/wnba/boxscores/199807030NYL.html,
"Sat, Jul 4, 1998",Charlotte Sting,66,68,Box Score,Phoenix Mercury,/wnba/boxscores/199807040CHA.html,
"Sun, Jul 5, 1998",Sacramento Monarchs,66,70,Box Score,Utah Starzz,/wnba/boxscores/199807050SAC.html,
"Sun, Jul 5, 1998",Washington Mystics,62,61,Box Score,New York Liberty,/wnba/boxscores/199807050WAS.html,
"Mon, Jul 6, 1998",Cleveland Rockers,78,64,Box Score,Houston Comets,/wnba/boxscores/199807060CLE.html,
"Mon, Jul 6, 1998",New York Liberty,56,59,Box Score,Detroit Shock,/wnba/boxscores/199807060NYL.html,
"Mon, Jul 6, 1998",Utah Starzz,64,68,Box Score,Sacramento Monarchs,/wnba/boxscores/199807060UTA.html,
"Tue, Jul 7, 1998",Los Angeles Sparks,79,86,Box Score,Charlotte Sting,/wnba/boxscores/199807070LAS.html,
"Wed, Jul 8, 1998",Cleveland Rockers,65,77,Box Score,Washington Mystics,/wnba/boxscores/199807080CLE.html,
"Wed, Jul 8, 1998",Detroit Shock,78,76,Box Score,Phoenix Mercury,/wnba/boxscores/199807080DET.html,
"Wed, Jul 8, 1998",Los Angeles Sparks,76,71,Box Score,Sacramento Monarchs,/wnba/boxscores/199807080LAS.html,
"Wed, Jul 8, 1998",New York Liberty,79,54,Box Score,Houston Comets,/wnba/boxscores/199807080NYL.html,
"Wed, Jul 8, 1998",Utah Starzz,77,69,Box Score,Charlotte Sting,/wnba/boxscores/199807080UTA.html,
"Thu, Jul 9, 1998",Houston Comets,66,96,Box Score,Detroit Shock,/wnba/boxscores/199807090HOU.html,
"Fri, Jul 10, 1998",Phoenix Mercury,60,76,Box Score,Cleveland Rockers,/wnba/boxscores/199807100PHO.html,
