,date,team1,team1_odds,team1_score,team2,team2_odds,team2_score
2316,2019-08-17,Dallas Wings,-196,83,New York Liberty,156,77
2317,2019-08-17,Minnesota Lynx,211,79,Washington Mystics,-270,86
2318,2019-08-17,Connecticut Sun,-294,79,Seattle Storm,225,78
2319,2019-08-15,Phoenix Mercury,247,71,Connecticut Sun,-323,78
2320,2019-08-15,Dallas Wings,243,84,Los Angeles Sparks,-312,78
2321,2019-08-15,Washington Mystics,-455,88,Seattle Storm,337,59
2322,2019-08-14,Las Vegas Aces,-1000,94,Atlanta Dream,621,90
2323,2019-08-14,New York Liberty,206,73,Minnesota Lynx,-263,89
2324,2019-08-11,Las Vegas Aces,-159,89,Connecticut Sun,129,81
2325,2019-08-11,Los Angeles Sparks,-294,84,Chicago Sky,229,81
2326,2019-08-11,New York Liberty,150,69,Seattle Storm,-185,84
2327,2019-08-11,Washington Mystics,-417,101,Minnesota Lynx,315,78
2328,2019-08-11,Phoenix Mercury,-455,77,Dallas Wings,323,80
2329,2019-08-10,Indiana Fever,-294,87,Atlanta Dream,227,82
2330,2019-08-10,Las Vegas Aces,-312,84,Chicago Sky,237,87
2331,2019-08-10,Minnesota Lynx,127,89,Connecticut Sun,-156,57
2332,2019-08-09,Los Angeles Sparks,-256,84,Phoenix Mercury,200,74
2333,2019-08-09,Seattle Storm,-455,69,Dallas Wings,330,57
2334,2019-08-09,Washington Mystics,-1111,91,Indiana Fever,669,78
2335,2019-08-08,Chicago Sky,-323,101,New York Liberty,250,92
2336,2019-08-07,Atlanta Dream,165,69,Minnesota Lynx,-213,85
2337,2019-08-06,Las Vegas Aces,0,70,Washington Mystics,0,99
2338,2019-08-04,Phoenix Mercury,258,103,Washington Mystics,-345,82
2339,2019-08-04,Los Angeles Sparks,-222,83,Seattle Storm,173,75
2340,2019-08-04,New York Liberty,194,79,Connecticut Sun,-244,94
2341,2019-08-04,Dallas Wings,159,70,Las Vegas Aces,-196,75
2342,2019-08-04,Atlanta Dream,150,75,Chicago Sky,-185,87
2343,2019-08-04,Indiana Fever,125,86,Minnesota Lynx,-154,75
2344,2019-08-03,Seattle Storm,175,79,Washington Mystics,-227,99
2345,2019-08-02,Los Angeles Sparks,-119,76,Las Vegas Aces,-103,68
2346,2019-08-02,Dallas Wings,-119,87,New York Liberty,-103,64
2347,2019-08-02,Connecticut Sun,-333,68,Phoenix Mercury,256,62
2348,2019-08-01,Indiana Fever,-217,61,Atlanta Dream,173,59
2349,2019-07-31,Las Vegas Aces,-833,86,Dallas Wings,527,54
2350,2019-07-31,Connecticut Sun,-312,100,Chicago Sky,241,94
2351,2019-07-31,Washington Mystics,-588,99,Phoenix Mercury,403,93
2352,2019-07-24,Minnesota Lynx,179,71,Washington Mystics,-227,79
2353,2019-07-24,Connecticut Sun,-500,70,New York Liberty,355,63
2354,2019-07-24,Las Vegas Aces,-222,79,Seattle Storm,177,62
2355,2019-07-24,Phoenix Mercury,-250,95,Indiana Fever,196,77
2356,2019-07-24,Atlanta Dream,-103,66,Los Angeles Sparks,-119,78
2357,2019-07-21,Chicago Sky,-244,78,Indiana Fever,191,70
2358,2019-07-21,Las Vegas Aces,-263,79,Minnesota Lynx,204,74
2359,2019-07-21,Washington Mystics,-1000,93,Atlanta Dream,634,65
2360,2019-07-21,Dallas Wings,106,66,Phoenix Mercury,-132,70
2361,2019-07-20,New York Liberty,106,83,Los Angeles Sparks,-128,78
2362,2019-07-20,Seattle Storm,106,69,Las Vegas Aces,-132,66
2363,2019-07-20,Connecticut Sun,-476,98,Atlanta Dream,338,69
2364,2019-07-20,Indiana Fever,276,88,Washington Mystics,-370,95
2365,2019-07-18,Los Angeles Sparks,-323,69,Dallas Wings,244,64
2366,2019-07-18,Minnesota Lynx,-244,79,Seattle Storm,191,90
2367,2019-07-17,Phoenix Mercury,-270,69,Dallas Wings,212,64
2368,2019-07-17,Chicago Sky,-263,77,Atlanta Dream,206,76
2369,2019-07-15,Minnesota Lynx,-112,75,Phoenix Mercury,-110,62
2370,2019-07-15,Seattle Storm,-270,78,New York Liberty,210,69
2371,2019-07-14,Dallas Wings,-116,79,Chicago Sky,-105,89
2372,2019-07-14,Indiana Fever,152,63,Connecticut Sun,-192,76
2373,2019-07-14,Atlanta Dream,139,71,Los Angeles Sparks,-172,76
2374,2019-07-14,Washington Mystics,-149,81,Las Vegas Aces,122,85
2375,2019-07-13,Seattle Storm,-244,95,Dallas Wings,192,81
2376,2019-07-13,Chicago Sky,-169,99,New York Liberty,136,83
2377,2019-07-13,Connecticut Sun,-196,79,Phoenix Mercury,159,64
2378,2019-07-13,Atlanta Dream,106,60,Minnesota Lynx,-132,53
2379,2019-07-13,Indiana Fever,121,84,Los Angeles Sparks,-149,90
2380,2019-07-11,Chicago Sky,-128,72,Minnesota Lynx,104,73
2381,2019-07-10,Indiana Fever,219,71,Las Vegas Aces,-278,74
2382,2019-07-10,Washington Mystics,-435,68,Phoenix Mercury,313,91
2383,2019-07-10,Atlanta Dream,202,78,Connecticut Sun,-256,75
2384,2019-07-09,Dallas Wings,179,74,Los Angeles Sparks,-227,62
2385,2019-07-07,Chicago Sky,-286,78,Dallas Wings,222,66
2386,2019-07-07,Phoenix Mercury,-345,65,Atlanta Dream,262,63
2387,2019-07-07,Los Angeles Sparks,170,98,Washington Mystics,-217,81
2388,2019-07-07,New York Liberty,181,58,Las Vegas Aces,-233,90
2389,2019-07-06,Connecticut Sun,-400,71,Minnesota Lynx,294,74
2390,2019-07-06,Phoenix Mercury,-312,76,New York Liberty,245,80
2391,2019-07-06,Seattle Storm,-500,66,Atlanta Dream,347,77
2392,2019-07-06,Dallas Wings,-182,56,Indiana Fever,147,76
2393,2019-07-03,Seattle Storm,-294,83,New York Liberty,229,84
2394,2019-07-03,Minnesota Lynx,-370,85,Atlanta Dream,275,68
2395,2019-07-02,Las Vegas Aces,-455,90,Chicago Sky,333,82
2396,2019-07-01,Seattle Storm,-118,67,Phoenix Mercury,-104,69
2397,2019-06-30,Los Angeles Sparks,-244,94,Chicago Sky,191,69
2398,2019-06-30,Dallas Wings,129,89,Minnesota Lynx,-159,86
2399,2019-06-30,Atlanta Dream,-185,58,New York Liberty,148,74
2400,2019-06-30,Las Vegas Aces,-1111,102,Indiana Fever,637,97
2401,2019-06-29,Washington Mystics,-333,102,Connecticut Sun,256,59
2402,2019-06-29,Phoenix Mercury,-233,91,Indiana Fever,184,69
2403,2019-06-29,Seattle Storm,-161,79,Chicago Sky,131,76
2404,2019-06-29,New York Liberty,-196,69,Dallas Wings,159,68
2405,2019-06-28,Los Angeles Sparks,106,86,Las Vegas Aces,-132,74
2406,2019-06-27,Dallas Wings,324,74,Connecticut Sun,-435,73
2407,2019-06-26,Chicago Sky,213,74,Washington Mystics,-270,81
2408,2019-06-26,Las Vegas Aces,-278,60,Seattle Storm,217,56
2409,2019-06-26,Indiana Fever,121,74,Minnesota Lynx,-149,78
2410,2019-06-24,Seattle Storm,-278,65,Indiana Fever,216,61
2411,2019-06-23,Chicago Sky,175,93,Connecticut Sun,-217,75
2412,2019-06-23,Phoenix Mercury,-102,82,Los Angeles Sparks,-119,72
2413,2019-06-23,Atlanta Dream,359,73,Washington Mystics,-500,89
2414,2019-06-23,Las Vegas Aces,-1429,86,Dallas Wings,752,68
2415,2019-06-23,Minnesota Lynx,-417,92,New York Liberty,304,83
2416,2019-06-22,Seattle Storm,100,84,Los Angeles Sparks,-123,62
2417,2019-06-22,Chicago Sky,-208,69,Indiana Fever,165,76
